# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2024-06-25,Nano Bitcoin,37566,2868,25338,0,0,-22470.0,2024-06-28
2024-07-02,BITCOIN,27063,1251,18022,17291,493,-16771.0,2024-07-05
2024-07-02,MICRO BITCOIN,14574,2753,10289,2694,21,-7536.0,2024-07-05
2024-07-02,Nano Bitcoin,25750,138,11956,0,0,-11818.0,2024-07-05
2024-07-09,BITCOIN,28241,1152,18928,17695,563,-17776.0,2024-07-12
2024-07-09,MICRO BITCOIN,22003,6513,17497,2544,27,-10984.0,2024-07-12
2024-07-09,Nano Bitcoin,25983,390,10211,0,0,-9821.0,2024-07-12
2024-07-16,BITCOIN,31183,1636,20439,19999,656,-18803.0,2024-07-19
2024-07-16,MICRO BITCOIN,28102,11698,20102,2423,25,-8404.0,2024-07-19
2024-07-16,Nano Bitcoin,28195,1562,11628,0,0,-10066.0,2024-07-19
2024-07-23,BITCOIN,32435,1868,20542,20438,636,-18674.0,2024-07-26
2024-07-23,MICRO BITCOIN,33492,18952,24360,2466,0,-5408.0,2024-07-26
2024-07-23,Nano Bitcoin,27442,2340,10438,0,0,-8098.0,2024-07-26
2024-07-30,BITCOIN,28605,2700,20293,19767,643,-17593.0,2024-08-02
2024-07-30,MICRO BITCOIN,22938,8357,14712,2676,34,-6355.0,2024-08-02
2024-07-30,Nano Bitcoin,30000,253,14400,0,0,-14147.0,2024-08-02
2024-08-06,BITCOIN,27535,1882,19127,17710,629,-17245.0,2024-08-09
2024-08-06,MICRO BITCOIN,35838,19464,24373,1406,63,-4909.0,2024-08-09
2024-08-06,Nano Bitcoin,27776,206,12860,0,0,-12654.0,2024-08-09
2024-08-13,BITCOIN,27874,2203,19491,18608,598,-17288.0,2024-08-16
2024-08-13,MICRO BITCOIN,31298,11743,20509,607,122,-8766.0,2024-08-16
2024-08-13,Nano Bitcoin,29220,149,12485,0,0,-12336.0,2024-08-16
2024-08-20,BITCOIN,29630,1905,19036,18784,620,-17131.0,2024-08-23
2024-08-20,MICRO BITCOIN,46944,27473,29492,728,78,-2019.0,2024-08-23
2024-08-20,Nano Bitcoin,30251,309,14995,0,0,-14686.0,2024-08-23
2024-08-27,BITCOIN,29817,2365,20297,19303,604,-17932.0,2024-08-30
2024-08-27,MICRO BITCOIN,44017,24804,29857,1071,107,-5053.0,2024-08-30
2024-08-27,Nano Bitcoin,32153,528,17959,0,0,-17431.0,2024-08-30
2024-09-03,BITCOIN,26859,2184,18876,17664,371,-16692.0,2024-09-06
2024-09-03,MICRO BITCOIN,13719,5944,6166,988,29,-222.0,2024-09-06
2024-09-03,Nano Bitcoin,30094,5018,10906,0,0,-5888.0,2024-09-06
2024-09-10,BITCOIN,28157,1748,18886,18196,367,-17138.0,2024-09-13
2024-09-10,MICRO BITCOIN,20013,7163,7785,947,83,-622.0,2024-09-13
2024-09-10,Nano Bitcoin,30392,2753,16379,0,0,-13626.0,2024-09-13
2024-09-17,BITCOIN,30995,1914,19963,11674,416,-18049.0,2024-09-20
2024-09-17,MICRO BITCOIN,25576,8738,11939,711,127,-3201.0,2024-09-20
2024-09-17,Nano Bitcoin,36358,8019,17675,0,0,-9656.0,2024-09-20
2024-09-24,BITCOIN,30542,1985,20623,9233,365,-18638.0,2024-09-27
