# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2024-04-09,ETHER CASH SETTLED,5984,2401,3216,1465,0,-815.0,2024-04-12
2024-04-09,MICRO ETHER,24560,7233,10053,1369,1473,-2820.0,2024-04-12
2024-04-09,NANO ETHER,13782,265,4785,0,0,-4520.0,2024-04-12
2024-04-16,ETHER CASH SETTLED,5644,2340,2882,1295,50,-542.0,2024-04-19
2024-04-16,MICRO ETHER,25950,10386,15357,1632,1411,-4971.0,2024-04-19
2024-04-16,NANO ETHER,14991,40,6798,0,0,-6758.0,2024-04-19
2024-04-23,ETHER CASH SETTLED,5126,1525,2424,1377,58,-899.0,2024-04-26
2024-04-23,MICRO ETHER,34745,17481,17211,1432,1226,270.0,2024-04-26
2024-04-23,NANO ETHER,14065,26,5942,0,0,-5916.0,2024-04-26
2024-04-30,ETHER CASH SETTLED,5155,2165,2704,1238,0,-539.0,2024-05-03
2024-04-30,MICRO ETHER,19442,5939,5128,1402,1305,811.0,2024-05-03
2024-04-30,NANO ETHER,11230,35,3458,0,0,-3423.0,2024-05-03
2024-05-07,ETHER CASH SETTLED,4411,1237,2202,1230,0,-965.0,2024-05-10
2024-05-07,MICRO ETHER,22232,7556,8517,1284,1238,-961.0,2024-05-10
2024-05-07,NANO ETHER,11497,0,5048,0,0,-5048.0,2024-05-10
2024-05-14,ETHER CASH SETTLED,4326,1169,2083,1099,0,-914.0,2024-05-17
2024-05-14,MICRO ETHER,20427,6509,7750,1128,864,-1241.0,2024-05-17
2024-05-14,NANO ETHER,14218,0,6980,0,0,-6980.0,2024-05-17
2024-05-21,ETHER CASH SETTLED,5964,1948,2751,1305,108,-803.0,2024-05-24
2024-05-21,MICRO ETHER,36274,9444,25297,1128,1264,-15853.0,2024-05-24
2024-05-21,NANO ETHER,17644,254,5366,0,0,-5112.0,2024-05-24
2024-05-28,ETHER CASH SETTLED,6544,2499,2580,1347,202,-81.0,2024-05-31
2024-05-28,MICRO ETHER,29487,6302,17085,728,1100,-10783.0,2024-05-31
2024-05-28,NANO ETHER,21554,764,11258,0,0,-10494.0,2024-05-31
2024-06-04,ETHER CASH SETTLED,6323,2473,2392,1547,219,81.0,2024-06-07
2024-06-04,MICRO ETHER,28733,9712,15851,1193,1238,-6139.0,2024-06-07
2024-06-04,NANO ETHER,16889,0,9534,0,0,-9534.0,2024-06-07
2024-06-11,ETHER CASH SETTLED,7088,2784,3313,1858,182,-529.0,2024-06-14
2024-06-11,MICRO ETHER,41867,18940,18881,1975,804,59.0,2024-06-14
2024-06-11,NANO ETHER,22352,179,14595,0,0,-14416.0,2024-06-14
2024-06-18,ETHER CASH SETTLED,7327,2702,3713,2168,226,-1011.0,2024-06-21
2024-06-18,MICRO ETHER,47014,22546,26231,1541,1459,-3685.0,2024-06-21
2024-06-18,NANO ETHER,25310,902,17450,0,0,-16548.0,2024-06-21
2024-06-25,ETHER CASH SETTLED,7450,2843,3968,2230,139,-1125.0,2024-06-28
2024-06-25,MICRO ETHER,49936,24456,31643,2055,1399,-7187.0,2024-06-28
2024-06-25,NANO ETHER,23756,3341,16997,0,0,-13656.0,2024-06-28
2024-07-02,ETHER CASH SETTLED,6461,2417,3446,2143,160,-1029.0,2024-07-05
2024-07-02,MICRO ETHER,23028,5229,8516,1056,1540,-3287.0,2024-07-05
2024-07-02,NANO ETHER,15093,649,8976,0,0,-8327.0,2024-07-05
2024-07-09,ETHER CASH SETTLED,6462,1964,3615,2323,292,-1651.0,2024-07-12
2024-07-09,MICRO ETHER,31104,9426,10516,3503,1495,-1090.0,2024-07-12
2024-07-09,NANO ETHER,17224,627,11582,0,0,-10955.0,2024-07-12
2024-07-16,ETHER CASH SETTLED,6772,1341,3221,2878,362,-1880.0,2024-07-19
2024-07-16,MICRO ETHER,38409,14196,10939,1614,2422,3257.0,2024-07-19
2024-07-16,NANO ETHER,18185,587,10180,0,0,-9593.0,2024-07-19
2024-07-23,ETHER CASH SETTLED,7661,1833,3449,2975,271,-1616.0,2024-07-26
2024-07-23,MICRO ETHER,38916,15174,10848,488,1604,4326.0,2024-07-26
2024-07-23,NANO ETHER,20530,348,13091,0,0,-12743.0,2024-07-26
2024-07-30,ETHER CASH SETTLED,6243,1334,3311,3059,211,-1977.0,2024-08-02
2024-07-30,MICRO ETHER,19764,3190,8690,586,1586,-5500.0,2024-08-02
2024-07-30,NANO ETHER,17469,325,13456,0,0,-13131.0,2024-08-02
2024-08-06,ETHER CASH SETTLED,6703,1194,3545,3007,180,-2351.0,2024-08-09
2024-08-06,MICRO ETHER,63171,14340,53402,4362,5179,-39062.0,2024-08-09
2024-08-06,NANO ETHER,17601,501,12694,0,0,-12193.0,2024-08-09
2024-08-13,ETHER CASH SETTLED,6836,1006,3883,3098,132,-2877.0,2024-08-16
2024-08-13,MICRO ETHER,59513,19299,51009,3319,5317,-31710.0,2024-08-16
2024-08-13,NANO ETHER,21607,658,15349,0,0,-14691.0,2024-08-16
2024-08-20,ETHER CASH SETTLED,7337,1038,3531,3205,102,-2493.0,2024-08-23
2024-08-20,MICRO ETHER,65013,25439,54705,3037,5460,-29266.0,2024-08-23
2024-08-20,NANO ETHER,21766,662,14704,0,0,-14042.0,2024-08-23
2024-08-27,ETHER CASH SETTLED,6977,1248,3194,3031,105,-1946.0,2024-08-30
